번호,본부,사업소,팀,작업명,위험요인,안전조치방법
399,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"센서 교체 시 선로전환기 전환에 의한 부상(손, 발 등 협착)",- 협의역 간 무전교신 후 작업
400,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"센서 교체 시 선로전환기 전환에 의한 부상(손, 발 등 협착)",- 작업 전 협착방지기구 설치
401,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"센서 교체 시 선로전환기 전환에 의한 부상(손, 발 등 협착)",- 작업 전 수동스위치로 전원 차단 
402,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,밀착 및 쇄정 편위 조정 시 공구에 의한 부상(끼임),"- 적정공기구 사용, 서두름 금지"
403,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,슬립전류 측정 시 전환으로 인한 손.발 끼임(자동전환 포함),- 적정위치에서 측정
404,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 뚜껑을 열고 닫을 시 신체 끼임 및 넘어짐,- 적정 자세유지
405,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,각종 간류에 설치된 할핀에 의해 신발끈이 걸려 넘어질 위험,- 항시 주시하며 이동(주의 통행)
406,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 유지보수 시 쇄정간 덮개에 발이 끼거나 걸려 넘어짐,- 지적확인환호응답 철저
407,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 유지보수 시 쇄정간 덮개에 발이 끼거나 걸려 넘어짐,- 작업완료 후 쇄정간 덮개 정상조치
408,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,(신형) 절연일체형 선로전환기는 간류가 과거 설비에 비해 지면에서 높게 설치되어 있어 야간에 이동 시 간격간에 걸려 넘어짐,- 정기적으로 안전교육(외형상 특성 등)
409,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,(신형) 절연일체형 선로전환기는 간류가 과거 설비에 비해 지면에서 높게 설치되어 있어 야간에 이동 시 간격간에 걸려 넘어짐,- 이동 시 후방 작업자에게 전달
410,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,MJ81 선로전환기 커버의 스프링 크램프 탄성이 너무 강하여 선로전환기 커버 해체 시 손가락 골절의 위험이 있음,- 작업용 장갑 착용
411,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,MJ81 선로전환기 커버의 스프링 크램프 탄성이 너무 강하여 선로전환기 커버 해체 시 손가락 골절의 위험이 있음,- 지렛대 도구 사용
412,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"본체 및 모터 등 중량물 작업 시 부상(부딪힘, 근골격계질환)",- 중량물 취급 안전수칙 준수
413,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 슬립전류 및 동작전압 측정 시 감전,- 전원계통 확인 후 작업
414,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 슬립전류 및 동작전압 측정 시 감전,- 작업 전 수동스위치로 전원 차단
415,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,열차감시원 미배치로 열차와 부딪힘(충돌),"- 열차감시원 배치, 역과 협의철저"
416,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,야간작업 시 조도불량으로 선로전환기 주변에서 넘어짐 등 ,- 휴대용 조명등 사용
417,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,야간작업 시 조도불량으로 선로전환기 주변에서 넘어짐 등 ,- 충분한 조도를 확보할 수 있는 헤드랜턴 사용
418,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 주변 도상자갈 불평형으로 미끄러짐,- 서두름 금지
419,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"분기부 내 이동 중 각종 지장물에 걸려 넘어짐(전도, 충돌)",- 주변 파악 후 안전하게 이동
420,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"사용목적에 맞지 않는 공구사용으로 부상(골절, 타박, 충돌)",- 적정공구 사용
421,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"사용목적에 맞지 않는 공구사용으로 부상(골절, 타박, 충돌)",- 매월 안전점검의 날 공정별 공기구 확인(교육)
422,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,기능시험 중 기본레일과 첨단레일사이에 발목 협착 및 전도,- 적정거리 유지 및 주의 통행
423,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,기능시험 중 기본레일과 첨단레일사이에 발목 협착 및 전도,- 주변 시설물 위치 파악 후 안전한 위치로 이동
424,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,밀착강도 조정 시 무리한 동작으로 넘어짐,"- 적정공기구 사용, 서두름 금지"
425,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,주. 부쇄정 확인 시 손가락을 넣으면 끼임우려가 있다,- 확인 시 육안으로 확인
426,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,각종 볼트 조임 및 풀림 작업 시 부상(끼임),"- 적정공기구 사용, 서두름 금지"
427,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,선로전환기 주변에 각종 구조물 인식 부족으로 충돌,- 작업전 주변확인
428,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"선로전환기 전환 시험시, 레일 명판에 바지 옷깃이나 신발 끈이 걸려 넘어짐",- 항시 주시하며 이동(주의 통행)
429,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"선로전환기 전환 시험시, 레일 명판에 바지 옷깃이나 신발 끈이 걸려 넘어짐",- 지적확인 철저 이행
430,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,"선로전환기 전환 시험시, 레일 명판에 바지 옷깃이나 신발 끈이 걸려 넘어짐",- 안전화 착용법(신발끈 관리등) 준수
431,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,조핀 삽입 시 손이나 손가락 끼임(협착),- 작업용 장갑 착용 
432,광주본부,광주전기사업소,신호팀,선로전환기 유지보수,조핀 삽입 시 손이나 손가락 끼임(협착),- 서두름 금지
433,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,"컨트롤 암 조정에 따른 철관장치 연결봉(Driving rod)과 coupling rod 분리 및 조립 시 작업공구(라쳇렌지=깔깔이, 노루말 못뽑이=빠루 등) 사용으로 인한 손가락 끼임 등 부상",- 작업자 상호 의사소통 철저
434,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,"파이프 랜치를 이용, 철관장치 연결봉(Driving rod)의 너트를 풀 때 힘을 가하는 작업자 발(足)이 파이프 랜치에서 미끄러지거나 넘어져 부상",- 무리하게 힘을 주는 행위 지양
435,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,"파이프 랜치를 이용, 철관장치 연결봉(Driving rod)의 너트를 풀 때 힘을 가하는 작업자 발(足)이 파이프 랜치에서 미끄러지거나 넘어져 부상",- 작업전 파이프 랜치 사용법 교육
436,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,각종 너트류를 조이거나 풀 때 파이프 랜치 등 작업공구가 튀어 주변 작업자에게 부상,- 작업상황 상시 관찰(조언)
437,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,각종 너트류를 조이거나 풀 때 파이프 랜치 등 작업공구가 튀어 주변 작업자에게 부상,- 작업전 파이프 랜치 사용법 교육
438,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,"선로전환기 수동전환 시 주변 시설물 및 장애물 인지 부족 등으로 인해 넘어지거나, 선로전환기 Bar를 잡은 손이 미끄러져 넘어짐",- 야간 작업시 조명 확보 및 수동전환 시 주변 시설물 위치 파악 후 시행
439,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,"선로전환기 수동전환 시 주변 시설물 및 장애물 인지 부족 등으로 인해 넘어지거나, 선로전환기 Bar를 잡은 손이 미끄러져 넘어짐",- 안정된 자세 확보 후 작업 및 미끄럼 방지장갑 착용
440,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,각종 할핀 제거 및 삽입 시 작업공기구(뺀찌)에 손가락이 끼여 협착(끼임),- 서두름 금지(교육 포함)
441,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,밀착 조정에 따른 철편 삽입 시 노루말 못뽑이(=빠루)를 잘못 사용하여 작업자가 넘어지거나 주변 작업자가 부상,"- 상호 의사소통 후 작업,"
442,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,밀착 조정에 따른 철편 삽입 시 노루말 못뽑이(=빠루)를 잘못 사용하여 작업자가 넘어지거나 주변 작업자가 부상,- 무리하게 힘을 가하지 않기
443,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,틈새 게이지 사용 시 불시 선로전환기 전환으로 인해 끼임 ,- 운전취급자와 무선교신 철저(소통)
444,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,틈새 게이지 사용 시 불시 선로전환기 전환으로 인해 끼임 ,- 수동키 삽입 후 작업시행
445,광주본부,광주전기사업소,신호팀,선로전환기 철관장치 유지보수,전동 임팩트를 사용하여 각종 너트를 잠그거나 풀 때 회전체 말림에 의한 부상,- 임팩트 사용 시 면장갑 착용 금지
446,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주 점검중 전차선 유도전류(누설전류)에 의해 감전,- 작업전 안전교육 및 보호구 착용
447,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주 점검중 전차선 유도전류(누설전류)에 의해 감전,"- 작업장소, 열차운행 상황 등을 고려하여 승주"
448,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주 점검중 전차선 유도전류(누설전류)에 의해 감전,- 유도전류 방지밴드를 발목에 착용 후 승주
449,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,우천(강설포함) 시 사다리에서 미끄러질 위험(추락 및 충돌),"- 물기제거 후 승주, 서두르지 말고 천천히 승주"
450,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,우천(강설포함) 시 사다리에서 미끄러질 위험(추락 및 충돌),- 안전화 착용
451,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 작업용 발판이 없어 작업중 떨어짐 ,"- 승주 후 안전대 착용, 주의작업"
452,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 작업용 발판이 없어 작업중 떨어짐 ,- 건축한계 고려 작업발판 설치
453,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 작업용 발판이 없어 작업중 떨어짐 ,- 안전요대 착용후 승주하여 안전걸이를 재 확인
454,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주에서 작업 시 공간이 좁아 작업 중 무리한 동작으로 허리 등에 부상(근골격계질환),"- 작업 전 안전교육, "
455,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주에서 작업 시 공간이 좁아 작업 중 무리한 동작으로 허리 등에 부상(근골격계질환),- 최대한 바른자세로 작업
456,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기주에서 작업 시 공간이 좁아 작업 중 무리한 동작으로 허리 등에 부상(근골격계질환),- 작업 전 스트레칭 시행
457,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,입환표지용 식별표지 뚜껑을 여닫을 시 사각부분에 부상(끼임),- 작업전 안전교육 및 보호구 착용
458,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,입환표지용 식별표지 뚜껑을 여닫을 시 사각부분에 부상(끼임),- 건축한계 불량개소 하단 설치
459,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 사다리 승주 시 첨장 시설물에 머리 부딪힘,- 안전모 착용 및 주변시설확인
460,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 LED교체작업 시 날카로운 부분에 베임,- 안정된 자세 작업 및 주변시설확인
461,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 LED교체작업 시 날카로운 부분에 베임,- 작업용 장갑을 착용하고 충분한 작업시간 확보
462,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,상대적으로 폭이 좁은 사다리에서 오르내릴 때 추락(우려),- 주의하면서 승하강
463,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,승주작업 시 자재(교체품) 낙하로 아래 보조자 다침(충돌),- 직하에서 보조작업 지양
464,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,승주작업 시 자재(교체품) 낙하로 아래 보조자 다침(충돌),- 자재가 중량물인 경우 줄걸이 등 이용
465,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,승주작업 시 자재(교체품) 낙하로 아래 보조자 다침(충돌),- 보조자는 안전모(보안경 펼침 포함)를 착용
466,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,투시점검 등 신호기 주변 이동 시 열차 접촉,- 열차 진입여부 확인 후 이동
467,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,투시점검 등 신호기 주변 이동 시 열차 접촉,- 열차감시자 배치
468,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,투시점검 등 신호기 주변 이동 시 열차 접촉,- 지적확인환호응답 철저
469,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,투시점검 등 신호기 주변 이동 시 열차 접촉,"- 열차접근 경보앱을 활용, 열차접근여부 확인"
470,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"각종 신호기 유지보수 작업 중 작업대에서 추락(추락, 충돌)",- 반드시 안전대 착용 후 작업
471,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"각종 신호기 유지보수 작업 중 작업대에서 추락(추락, 충돌)",- 추락방지용 안전걸이 재차 확인
472,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기에서 작업완료 후 내려오다 바닥에서 발목이 꺾임,- 작업완료 후 주변 확인철저
473,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,각종 사유로 열차감시원 미배치 → 작업중 열차접촉,- 반드시 열차감시원 배치 후 작업
474,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,각종 사유로 열차감시원 미배치 → 작업중 열차접촉,- 열차접근경보앱 및 경보연동장치을 활용(열차접근 여부 확인)
475,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,각종 사유로 열차감시원 미배치 → 작업중 열차접촉,- 인원부족 시 작업 취소
476,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정 시 측정계측기의 고전압에 감전,- 평상 시 직무안전교육 철저
477,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정 시 측정계측기의 고전압에 감전,- 절연장갑 착용 철저
478,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정 시 측정계측기의 고전압에 감전,- 작업전 계측기 위험요인에 대한 안전교육 철저
479,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정을 위한 회선 분리 및 복귀 시 감전,- 단전작업 수칙 철저 이행
480,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정을 위한 회선 분리 및 복귀 시 감전,- 안전보호구 착용
481,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정을 위한 회선 분리 및 복귀 시 감전,"- 회선분리, 복귀시 전압 측정 확인 후 작업 "
482,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,제어회선 절연저항 측정을 위한 회선 분리 및 복귀 시 감전,- 작업자 상호간 무선통화 확인 철저
483,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 원형판 탈색으로 락카칠을 하는 중 작업자세 불안정으로 인해 추락,- 보호구(안전대) 착용 철저
484,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,신호기 원형판 탈색으로 락카칠을 하는 중 작업자세 불안정으로 인해 추락,- 서두름 금지
485,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,강관주 신호기 유지보수 시 유도된 전류로 인해 깜작 놀라 순간 발을 헛디뎌 추락,- 반드시 안전대 착용한 뒤 신호기 점검
486,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,강관주 신호기 유지보수 시 유도된 전류로 인해 깜작 놀라 순간 발을 헛디뎌 추락,- 절연장갑을 필시 착용
487,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,강관주 신호기 유지보수 시 유도된 전류로 인해 깜작 놀라 순간 발을 헛디뎌 추락,- 철구조물이 살에 닿지 않게 복장착용
488,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,입환신호기 취부대 교체 작업 시 신호기함을 들다 신호기함 문이 열려 머리에 부딪힘,- 안전모 착용
489,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,입환신호기 취부대 교체 작업 시 신호기함을 들다 신호기함 문이 열려 머리에 부딪힘,- 안전한 작업자세 확보
490,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,고속연결선 하4호 폐색신호기 승주작업 시 불안전한 자세로 작업함에 따른 심리적 불안함으로 떨어질 위험,- 안전요대 착용
491,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,고속연결선 하4호 폐색신호기 승주작업 시 불안전한 자세로 작업함에 따른 심리적 불안함으로 떨어질 위험,- 에어백 안전조끼 착용
492,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,고속연결선 하4호 폐색신호기 승주작업 시 불안전한 자세로 작업함에 따른 심리적 불안함으로 떨어질 위험,- 작업방법에 대한 직무교육 및 훈련
493,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"광주송정-나주간 하7호, 상1호 폐색신호기 안전울타리 입구에 추락방지용 사슬이 설치되어 있어 승주 시 한 손으로 해체하는 등 불안전한 자세로 인한 낙상위험",- 안전요대 착용
494,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"광주송정-나주간 하7호, 상1호 폐색신호기 안전울타리 입구에 추락방지용 사슬이 설치되어 있어 승주 시 한 손으로 해체하는 등 불안전한 자세로 인한 낙상위험",- 에어백 안전조끼 착용
495,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"광주송정-나주간 하7호, 상1호 폐색신호기 안전울타리 입구에 추락방지용 사슬이 설치되어 있어 승주 시 한 손으로 해체하는 등 불안전한 자세로 인한 낙상위험",- 작업방법에 대한 직무교육 및 훈련
496,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"백양사-안평 상9호 폐색신호기 전철주에 케이블 보호관, 접지선 보호관 고정밴드가 노후 탈락으로 신호기 점검시 철관유동으로 인한 부딪힘 위험",- 주의하여 작업
497,광주본부,광주전기사업소,신호팀,신호기장치 유지보수,"백양사-안평 상9호 폐색신호기 전철주에 케이블 보호관, 접지선 보호관 고정밴드가 노후 탈락으로 신호기 점검시 철관유동으로 인한 부딪힘 위험",- 와이어 철사로 임시 고정
498,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전력기기 취부불량으로 단락에 의한 감전,- 작업전 안전교육 및 안전보호구 착용
499,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전력기기 취부불량으로 단락에 의한 감전,- 정기적 각종 취부단자 일제조임 
500,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전력기기 취부불량으로 단락에 의한 감전,- 작업 전 전원유무측정 
501,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","각종 전원장치 전압, 전류측정 시 안전보호구 미착용으로 감전",- 작업전 안전교육 및 안전보호구 착용
502,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","접촉기, 계전기 등 교체 시 볼트, 너트가 충전부 사이로 떨어져 감전 (줍는 과정에서 주의하지 않아 충전부 감전)",- 작업 전 안전교육
503,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","접촉기, 계전기 등 교체 시 볼트, 너트가 충전부 사이로 떨어져 감전 (줍는 과정에서 주의하지 않아 충전부 감전)",- 안전보호구 착용
504,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","접촉기, 계전기 등 교체 시 볼트, 너트가 충전부 사이로 떨어져 감전 (줍는 과정에서 주의하지 않아 충전부 감전)",- 안정된 자세로 보수작업 시행
505,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","접촉기, 계전기 등 교체 시 볼트, 너트가 충전부 사이로 떨어져 감전 (줍는 과정에서 주의하지 않아 충전부 감전)",- 입력 전원 완전 차단
506,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전원부 각종 배전반(기구함) 개폐문을 열고 닫을 때 손가락 끼임,- 주의 작업
507,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",충전된 전선 끝부분이 절연처리 되지 않아 감전,- 주의 작업
508,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",충전된 전선 끝부분이 절연처리 되지 않아 감전,- 전선 끝부분 절연처리 (회선 전압 측정 포함) 
509,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 기구함 내 특정 작업중 또는 작업완료 후 문틈사이에 손가락 끼임,- 기구함 문 고정 후 작업
510,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 기구함 내 특정 작업중 또는 작업완료 후 문틈사이에 손가락 끼임,- 문틈 사이에 손가락 넣지 않도록 주기적으로 교육
511,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","각종 UPS 및 축전지의 전압, 전류측정 시 접촉에 의한 감전",- 작업전 안전교육 및 안전보호구 착용
512,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","각종 UPS 및 축전지의 전압, 전류측정 시 접촉에 의한 감전",- 축전지 단자부위 보호덮개 설치
513,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",단자대 조임 작업 시 충전부에 보수공구가 접촉되어 감전,- 작업전 안전교육 및 안전보호구 착용
514,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",단자대 조임 작업 시 충전부에 보수공구가 접촉되어 감전,- 각종 공기구 금속부위 절연처리(작업 공기구 일제정비)
515,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 충전부에 접촉되어 감전(충전부 노출개소 포함),"- 작업전 안전교육, 보호구 착용"
516,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 충전부에 접촉되어 감전(충전부 노출개소 포함),- 전원계통(충전부) 확인철저
517,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 충전부에 접촉되어 감전(충전부 노출개소 포함),- 지적확인환호응답 철저 이행
518,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 충전부에 접촉되어 감전(충전부 노출개소 포함),- 충전부 접촉되지 않게 주의
519,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 충전부에 접촉되어 감전(충전부 노출개소 포함),- 충전부가 노출된 개소 일제 정비
520,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",접지불량에 따라 각종 함체 접촉에 의한 감전,- 작업 전 안전교육 및 안전보호구 착용
521,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 전원장치 절체시험 중 절차 및 방법 미이행 등으로 감전,"- 작업 전 안전교육, 보호구 착용"
522,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 전원장치 절체시험 중 절차 및 방법 미이행 등으로 감전,- 기동 및 정지 절차에 따라 작업
523,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 전원부 기구함에 조명등이 없거나 고장으로 어두워 작업중 감전,- 전원부 점검 시 충분한 조명등 확보
524,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",안전보건상표지 미부착 등으로 인적오류 → 각종 재해(감전 등),- 안전보건상표지 부착 
525,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전원실 점검중 이중마루(Acces floor) 케이블 인입용 구멍으로 발이 빠져 넘어짐,- 주의하면서 이동 후 작업
526,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",전원실 점검중 이중마루(Acces floor) 케이블 인입용 구멍으로 발이 빠져 넘어짐,- 케이블 인입구 정비
527,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 기구함에서 케이블(회선) 확인 및 정비 시 케이블 타이가 정갈하게 잘려져 있지 않아 긁힐 위험(베임) * 계전기실 및 전원실 포함,- 작업용 장갑 사용
528,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 기구함에서 케이블(회선) 확인 및 정비 시 케이블 타이가 정갈하게 잘려져 있지 않아 긁힐 위험(베임) * 계전기실 및 전원실 포함,- 케이블타이 정갈하게 컷트
529,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","히팅장치 내부 점검도중 전압, 전류 표시선에 감전 ",- 주의작업
530,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",ABS함 내의 전원공급 단자의 절연저항을 측정하다 블록단자와 전원 사이의 공간이 협소하여 감전,- 주의작업
531,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 배전반(기구함) 개폐문 날카로운 부분에 손가락 베임,- 주의 작업
532,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각종 배전반(기구함) 개폐문 날카로운 부분에 손가락 베임,- 날카로운 부분 마감처리 후 작업
533,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",이동중 돌출된 전원부 함체 모서리에 머리 등 신체 충격,- 안전모 착용 및 주의통행
534,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",이동중 돌출된 전원부 함체 모서리에 머리 등 신체 충격,- 모서리 부분 안전조치(스폰지 등)
535,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 전원실 내 데이터수집장치의 모서리 부분이 날카로워 작업자가 이동중 머리 또는 안면부에 상해(자상 등),- 날카로운 부분을 인지
536,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 전원실 내 데이터수집장치의 모서리 부분이 날카로워 작업자가 이동중 머리 또는 안면부에 상해(자상 등),- 주의 통행
537,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)",각 전원실 내 데이터수집장치의 모서리 부분이 날카로워 작업자가 이동중 머리 또는 안면부에 상해(자상 등),- 데이터수집장치 모서리에 패드 부착
538,광주본부,광주전기사업소,신호팀,"전원장치 유지보수(기구함, 배전반, UPS, 축전지 포함)","극락강 구내 접속함J220 전면부에 자갈이 쌓여 문개방이 어려움. (수작업으로 힘든 자갈량), 힘을 주어 개방시 넘어짐, 부딪힘 위험",문을 개방할 수 있을 정도로
